종목,시세,등락률,시가총액,거래량
롯데하이마트,"13,430",-1.40,"3,171","21,852"
STX엔진,"13,550",-1.38,"3,118","19,444"
코오롱글로벌,"16,450",-1.56,"3,114","104,409"
한국철강,"7,310",-1.62,"3,103","161,685"
한미글로벌,"28,300",1.43,"3,101","406,659"
한국쉘석유,"238,500",1.71,"3,101",816
CJ4우(전환),"73,200",0.27,"3,094","2,183"
아세아,"141,000",0.28,"3,089","2,497"
풍산홀딩스,"29,600",-1.50,"3,081","7,874"
광동제약,"5,820",0.00,"3,051","121,757"
미래에셋 레버리지 원유선물혼합 ETN(H),"7,435",5.01,"3,048","37,153"
한국콜마홀딩스,"16,200",0.06,"3,009","18,770"
경방,"10,940",-0.27,"2,999","4,043"
대동,"12,500",-1.50,"2,992","459,141"
한솔제지,"12,530",-0.48,"2,982","54,564"
다올투자증권,"4,940",1.86,"2,980","843,062"
DB,"1,479",5.64,"2,975","9,075,754"
현대차증권,"9,380",0.11,"2,975","23,390"
남선알미늄,"2,300",-4.56,"2,969","2,375,748"
TCC스틸,"11,640",0.43,"2,960","210,131"
BYC,"473,000",4.42,"2,954",985
서연이화,"10,730",-4.20,"2,900","870,775"
모토닉,"8,750",0.34,"2,888","18,451"
제일약품,"19,580",-0.61,"2,879","12,367"
일성신약,"108,000",-1.82,"2,873","3,210"
유니퀘스트,"10,500",7.80,"2,872","488,319"
도화엔지니어링,"8,390",-1.29,"2,829","107,507"
방림,"6,660",2.30,"2,818","201,993"
광주신세계,"35,150",-3.17,"2,812","23,095"
조일알미늄,"2,215",-4.32,"2,805","6,120,116"
대상홀딩스,"7,710",0.00,"2,792","36,041"
KODEX 코스피,"25,045",-0.48,"2,780","9,114"
삼양패키징,"17,570",-1.84,"2,774","13,005"
코오롱,"21,900",-2.23,"2,765","31,228"
대한방직,"51,800",-0.19,"2,745","17,033"
신세계 I&C,"15,950",0.31,"2,743","106,281"
케이씨,"20,150",0.75,"2,731","19,264"
대성에너지,"9,900",-1.10,"2,723","140,565"
KBSTAR Fn수소경제테마,"9,760",-1.41,"2,718","23,523"
종근당홀딩스,"54,000",0.00,"2,705","3,489"
한국금융지주우,"45,800",-0.33,"2,683","2,067"
하나제약,"15,080",-0.13,"2,680","23,585"
삼부토건,"1,340",-4.29,"2,649","4,821,093"
동양,"1,108",-2.38,"2,645","431,125"
유진투자증권,"2,730",0.00,"2,644","56,657"
아주스틸,"9,990",-1.09,"2,643","35,163"
일진다이아,"18,530",-1.44,"2,632","15,256"
한전산업,"8,020",-0.99,"2,615","55,393"
SNT홀딩스,"15,850",-1.25,"2,584","4,357"
무림P&P,"4,140",-0.48,"2,582","81,944"
NPC,"7,030",0.29,"2,581","340,834"
