종목,시세,등락률,시가총액(억),거래량(백만)
DI동일,"21,200",2.66,"5,420","185,859"
KBSTAR 23-11 회사채(AA-이상)액티브,"51,240",0,"5,405","3,363"
삼성 레버리지 WTI원유 선물 ETN,"1,330",1.53,"5,373","784,867"
현대에너지솔루션,"47,950",-2.64,"5,370","102,541"
TIGER 글로벌리튬&2차전지SOLACTIVE(합성),"9,300",-1.43,"5,342","47,346"
HANARO 200,"31,730",-1.41,"5,331","18,521"
ACE 종합채권(AA-이상)KIS액티브,"94,880",-0.05,"5,305",1
경동나비엔,"36,400",-0.68,"5,303","25,552"
ACE 미국S&P500,"13,285",0.34,"5,274","80,360"
삼성화재우,"162,200",0.37,"5,177","7,179"
미래에셋증권2우B,"3,675",-0.14,"5,145","72,697"
동아에스티,"60,300",-2.58,"5,093","7,791"
미래에셋생명,"2,885",-1.54,"5,107","40,262"
KBSTAR 단기통안채,"106,935",0,"5,102","1,854,944"
KODEX 선진국MSCI World,"20,645",0.19,"5,099","11,929"
LF,"17,340",-1.64,"5,070","15,354"
TIGER 미국달러단기채권액티브,"11,335",1.3,"5,001","131,561"
한국카본,"11,330",-2.07,"4,981","134,616"
NICE,"13,120",-2.45,"4,970","13,118"
동일산업,"203,000",-1.93,"4,923",943
애경산업,"18,630",0.27,"4,920","22,326"
롯데손해보험,"1,584",-0.38,"4,916","68,590"
엠씨넥스,"27,350",-1.08,"4,917","40,149"
삼성SDI우,"301,500",-0.66,"4,878","1,209"
신한알파리츠,"6,590",-0.9,"4,865","28,981"
아모레퍼시픽우,"46,000",-2.54,"4,857","11,351"
세아홀딩스,"120,500",13.15,"4,820","45,264"
신한 레버리지 WTI원유 선물 ETN(H),960,0.52,"4,800","1,260,993"
에어부산,"4,115",0.61,"4,800","977,287"
삼화콘덴서,"45,650",-1.93,"4,745","47,239"
효성화학,"148,000",-5.61,"4,721","40,015"
KODEX 미국S&P500TR,"11,740",0.38,"4,684","83,565"
KOSEF 200TR,"38,700",-1.41,"4,683","5,766"
콘텐트리중앙,"24,100",-1.63,"4,642","46,266"
JW중외제약,"20,850",0.72,"4,624","40,842"
KODEX 코스닥150선물인버스,"4,775",0,"4,622","30,597,585"
TIGER 단기채권액티브,"51,565",0.02,"4,602","862,454"
KB스타리츠,"4,515",0.33,"4,579","47,076"
SK디앤디,"20,650",0.49,"4,582","6,471"
송원산업,"19,000",0.69,"4,560","49,181"
코람코에너지리츠,"5,120",-1.16,"4,533","13,829"
SGC에너지,"30,650",1.16,"4,499","38,144"
남해화학,"9,060",-0.11,"4,501","93,088"
삼양사,"43,450",-3.01,"4,481","10,089"
BGF,"4,595",-1.18,"4,398","79,192"
롯데정보통신,"28,450",1.25,"4,380","18,321"
에이프로젠,"1,676",2.2,"4,251","917,788"
신영증권우,"60,100",0.17,"4,239",149
ACE 미국나스닥100,"12,170",-0.16,"4,235","57,034"
TIGER KOFR금리액티브(합성),"100,810",0.01,"4,231","3,574"
TYM,"2,770",-0.54,"4,220","3,412,030"
남양유업,"586,000",-3.93,"4,219","9,001"
TIGER KRX2차전지K-뉴딜,"15,010",-1.25,"4,210","299,364"
빙그레,"42,150",-0.47,"4,152","2,919"
KODEX 단기변동금리부채권액티브,"105,835",-0.01,"4,158",111
ACE 200,"32,015",-1.46,"4,114","43,848"
풀무원,"10,750",-3.07,"4,098","100,018"
국도화학,"45,300",-0.66,"4,082","14,519"
애경케미칼,"8,390",0.12,"4,082","47,690"
세아제강,"142,400",-0.28,"4,039","251,210"
TIGER 24-10 회사채(A+이상)액티브,"51,970",-0.12,"4,030","59,361"
KODEX 미국나스닥100TR,"10,475",-0.05,"4,001","70,076"
KODEX 미국FANG플러스(H),"20,470",-1.33,"3,967","47,815"
TIGER 미국S&P500선물(H),"46,065",-0.85,"3,892","29,087"
잇츠한불,"17,740",-1.39,"3,890","16,458"
스카이라이프,"7,930",-0.63,"3,792","17,706"
맵스리얼티1,"4,095",-0.73,"3,802","24,403"
KEC,"2,600",2.77,"3,764","6,523,735"
케이씨텍,"17,850",0,"3,724","13,530"
한국자산신탁,"2,980",-0.5,"3,695","34,266"
영풍제지,"16,500",0.12,"3,679","105,740"
코리아써키트,"15,600",-1.45,"3,685","127,549"
유나이티드제약,"22,500",0,"3,655","26,750"
TIGER 차이나항셍테크,"5,790",-0.17,"3,645","984,259"
HDC,"6,100",-1.45,"3,644","51,600"
서흥,"31,400",0.32,"3,633","9,001"
교보증권,"5,600",-2.1,"3,621","26,645"
아세아시멘트,"9,210",0.22,"3,588","67,472"
KBSTAR KIS단기종합채권(AA-이상)액티브,"103,180",-0.01,"3,583",608
SK증권,757,0.8,"3,578","2,226,985"
ARIRANG 종합채권(AA-이상)액티브,"101,380",-0.19,"3,572",1
휴스틸,"6,360",-2.45,"3,574","1,392,226"
DB,"1,763",19.2,"3,547","12,070,991"
흥아해운,"1,478",-1.73,"3,553","293,038"
일양약품,"18,500",-1.75,"3,531","25,760"
SIMPAC,"5,390",0.75,"3,527","91,339"
웅진씽크빅,"3,035",-2.72,"3,506","599,912"
KISCO홀딩스,"21,450",0.94,"3,470","10,001"
신성이엔지,"1,682",-0.47,"3,462","415,156"
TIGER 글로벌자율주행&전기차SOLACTIVE,"9,940",-0.4,"3,455","26,503"
LG헬로비전,"4,445",0.11,"3,443","94,747"
이연제약,"19,100",0.47,"3,438","15,145"
KOSEF 국고채10년,"109,050",-0.48,"3,435","84,578"
퍼시스,"29,850",-1.49,"3,433","1,039"
신대양제지,"84,900",0,"3,421",81
신성통상,"2,375",-1.86,"3,413","68,968"
한일현대시멘트,"17,620",-2.22,"3,406","12,138"
세진중공업,"5,970",1.7,"3,394","276,641"
코오롱플라스틱,"8,950",-3.03,"3,401","147,175"
한일홀딩스,"11,020",0.92,"3,398","3,334"
아이마켓코리아,"10,150",-0.39,"3,393","18,022"
TIGER 일본니케이225,"15,650",-0.51,"3,390",883
HL홀딩스,"32,200",0,"3,372","12,161"
신도리코,"33,450",-0.45,"3,372","2,225"
대원제약,"15,350",-0.71,"3,372","43,357"
E1,"48,750",-0.91,"3,344","4,593"
DL건설,"15,060",-2.52,"3,321","12,519"
아세아제지,"36,850",-0.41,"3,300","7,366"
YG PLUS,"5,200",0.78,"3,298","139,005"
코오롱모빌리티그룹,"5,250",-6.42,"3,296","848,130"
한국토지신탁,"1,300",-0.54,"3,282","314,792"
지역난방공사,"28,300",-1.91,"3,277","2,849"
이리츠코크렙,"5,170",-1.52,"3,275","12,965"
KG케미칼,"23,550",-0.21,"3,265","39,235"
HJ중공업,"3,920",-2.49,"3,264","42,124"
조선내화,"81,300",0.12,"3,252",240
현대퓨처넷,"2,950",-2.64,"3,251","79,937"
대신증권우,"12,460",-0.32,"3,240","20,913"
키다리스튜디오,"8,730",-1.36,"3,227","29,430"
대한제강,"13,120",-2.16,"3,234","36,577"
락앤락,"6,430",0.16,"3,228","14,710"
농심홀딩스,"69,800",-1.13,"3,237","1,882"
한화3우B,"14,310",-0.9,"3,216","10,531"
LX하우시스,"35,850",-1.78,"3,215","12,427"
수산인더스트리,"22,400",-2.18,"3,200","23,803"
SK렌터카,"6,700",-1.33,"3,168","12,009"
STX엔진,"13,820",1.99,"3,180","19,333"
일신방직,"132,400",-0.82,"3,178","6,428"
한진,"21,250",-1.62,"3,176","8,214"
화신,"9,100",-2.05,"3,178","319,229"
조광피혁,"47,600",-0.94,"3,165",51
아세아,"144,300",2.34,"3,162","1,908"
삼진제약,"22,700",-2.37,"3,155","47,974"
환인제약,"16,940",-1.51,"3,151","21,019"
KOSEF 200,"31,680",-1.48,"3,120","9,483"
롯데하이마트,"13,150",-2.08,"3,104","10,305"
SNT중공업,"9,320",-2.61,"3,099","62,816"
CJ4우(전환),"73,100",-0.14,"3,090","1,515"
한국철강,"7,300",-0.14,"3,099","65,890"
코오롱글로벌,"16,270",-1.09,"3,080","71,780"
한국쉘석유,"236,500",-0.84,"3,075",387
풍산홀딩스,"29,300",-1.01,"3,050","3,474"
대동,"12,760",2.08,"3,054","503,561"
미래에셋 레버리지 원유선물혼합 ETN(H),"7,425",-0.13,"3,044","32,648"
BYC,"490,000",3.59,"3,061",554
한미글로벌,"27,750",-1.94,"3,041","103,156"
서연이화,"11,170",4.1,"3,019","703,408"
남선알미늄,"2,355",2.39,"3,040","1,499,744"
광동제약,"5,750",-1.2,"3,014","76,573"
다올투자증권,"4,965",0.51,"2,995","317,260"
현대차증권,"9,330",-0.53,"2,959","7,902"
한국콜마홀딩스,"15,870",-2.04,"2,948","19,104"
경방,"10,760",-1.65,"2,950","2,744"
한솔제지,"12,340",-1.52,"2,937","53,208"
TCC스틸,"11,480",-1.37,"2,919","113,535"
모토닉,"8,750",0,"2,888","7,118"
일성신약,"107,900",-0.09,"2,870","11,063"
광주신세계,"35,600",1.28,"2,848","15,335"
도화엔지니어링,"8,440",0.6,"2,846","78,196"
제일약품,"19,200",-1.94,"2,823","12,299"
KODEX 코스피,"24,760",-1.14,"2,773","18,226"
대상홀딩스,"7,620",-1.17,"2,759","31,938"
대한방직,"52,000",0.39,"2,756","15,921"
삼양패키징,"17,430",-0.8,"2,752","3,622"
방림,"6,490",-2.55,"2,746","124,411"
유니퀘스트,"10,040",-4.38,"2,747","359,148"
조일알미늄,"2,150",-2.93,"2,723","1,875,375"
대성에너지,"9,900",0,"2,723","143,042"
케이씨,"20,050",-0.5,"2,718","13,782"
코오롱,"21,400",-2.28,"2,702","16,135"
종근당홀딩스,"53,600",-0.74,"2,685","1,045"
신세계 I&C,"15,600",-2.19,"2,683","72,165"
KBSTAR Fn수소경제테마,"9,605",-1.59,"2,675","22,016"
삼익THK,"12,710",3.92,"2,669","176,122"
한국금융지주우,"45,300",-1.09,"2,654","2,991"
하나제약,"14,870",-1.39,"2,643","14,743"
아주스틸,"9,960",-0.3,"2,635","23,438"
유진투자증권,"2,690",-1.47,"2,606","26,389"
동양,"1,087",-1.9,"2,594","164,712"
일진다이아,"18,260",-1.46,"2,593","13,839"
삼부토건,"1,306",-2.54,"2,582","2,700,016"
엘브이엠씨홀딩스,"2,590",0.58,"2,576","293,098"
한전산업,"7,900",-1.5,"2,575","41,024"
대한제분,"151,600",-0.46,"2,562","1,212"
